doi,n_records_merged,source_dbs,chosen_db,chosen_record_id,year,title_first50
10.1002/bmc.3489,1,Scopus,Scopus,Scopus:2-s2.0-84943657950,2015,Identification of chemical constituents and rat me
10.1002/bmc.3501,1,Scopus,Scopus,Scopus:2-s2.0-84945451114,2015,"Simultaneous determination of baicalin, oroxylin A"
10.1002/bmc.3505,1,Scopus,Scopus,Scopus:2-s2.0-84944876642,2015,Comparative pharmacokinetics of catalpol and acteo
10.1002/bmc.3511,1,Scopus,Scopus,Scopus:2-s2.0-84945456166,2015,Comparative pharmacokinetic profiles of five poorl
10.1002/bmc.3515,1,Scopus,Scopus,Scopus:2-s2.0-84945493665,2015,"Simultaneous determination of ginkgolides A, B, C "
10.1002/bmc.3546,1,Scopus,Scopus,Scopus:2-s2.0-84954397495,2016,Metabolite identification of seven active componen
10.1002/bmc.3557,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-84956583994,2016,Comparative pharmacokinetics and brain distributio
10.1002/bmc.3578,1,Scopus,Scopus,Scopus:2-s2.0-84959511261,2016,Evaluation of the influence of salt processing on 
10.1002/bmc.3626,1,Scopus,Scopus,Scopus:2-s2.0-84947280206,2016,Metabolic routes along digestive system of licoric
10.1002/bmc.3710,1,Scopus,Scopus,Scopus:2-s2.0-84980385985,2016,Characterization of metabolites in rats after intr
10.1002/bmc.3721,1,Scopus,Scopus,Scopus:2-s2.0-84985955389,2016,An evaluation of the CYP2D6 and CYP3A4 inhibition 
10.1002/bmc.3750,1,Scopus,Scopus,Scopus:2-s2.0-84991212217,2016,"Metabolic profiling of tenacigenin B, tenacissosid"
10.1002/bmc.3768,1,Scopus,Scopus,Scopus:2-s2.0-84978808785,2016,LC–MS/MS determination and interaction of the main
10.1002/bmc.3771,1,WoS,WoS,WoS:WOS:000387750500009,2016,Interaction effects on cytochrome P450 both in vit
10.1002/bmc.3834,1,Scopus,Scopus,Scopus:2-s2.0-84990215714,2017,Simultaneous determination of three active compone
10.1002/bmc.3905,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85012048795,2017,Direct inhibition of Re Du Ning Injection and its 
10.1002/bmc.3914,1,WoS,WoS,WoS:WOS:000404968600009,2017,Application of a liquid chromatography-tandem mass
10.1002/bmc.3934,1,Scopus,Scopus,Scopus:2-s2.0-85013304758,2017,Comparative pharmacokinetic study of the main comp
10.1002/bmc.3973,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000410134700010,2017,The effect of tripterygium glucoside tablet on pha
10.1002/bmc.3978,1,Scopus,Scopus,Scopus:2-s2.0-85019951135,2017,Screening and identification of multiple constitue
10.1002/bmc.3992,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000412837200011,2017,UHPLC-Q-TOF-MS/MS-based screening and characteriza
10.1002/bmc.4016,1,Scopus,Scopus,Scopus:2-s2.0-85021808966,2017,Metabolic profiling of quercetin in rats using ult
10.1002/bmc.4019,1,Scopus,Scopus,Scopus:2-s2.0-85026326179,2017,"Simultaneous determination of ginsenoside Rb1, gin"
10.1002/bmc.4028,1,Scopus,Scopus,Scopus:2-s2.0-85023742444,2017,Pharmacokinetic comparison of two phenolic acids a
10.1002/bmc.4060,1,Scopus,Scopus,Scopus:2-s2.0-85030174718,2018,Identification of the constituents and metabolites
10.1002/bmc.4116,1,Scopus,Scopus,Scopus:2-s2.0-85034780003,2018,Comparison of plasma pharmacokinetics of Tanreqing
10.1002/bmc.4118,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85041699431,2018,Chemical interaction between Lilium brownii and Rh
10.1002/bmc.4141,1,Scopus,Scopus,Scopus:2-s2.0-85040687913,2018,Metabolic study of paeoniflorin and total paeony g
10.1002/bmc.4160,1,Scopus,Scopus,Scopus:2-s2.0-85040164935,2018,Biotransformation and metabolic profile of Xian-Li
10.1002/bmc.4178,1,Scopus,Scopus,Scopus:2-s2.0-85040729016,2018,Simultaneous quantification of multiple components
10.1002/bmc.4218,1,Scopus,Scopus,Scopus:2-s2.0-85044521771,2018,Investigation of the in vivo metabolism of harpago
10.1002/bmc.4250,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000438338600015,2018,Inhibitory effects of Danhong Injection and its ma
10.1002/bmc.4264,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000440901200003,2018,Pharmacokinetic properties of wogonin and its herb
10.1002/bmc.4329,1,Scopus,Scopus,Scopus:2-s2.0-85052651222,2018,Comparative pharmacokinetics of three alkaloids in
10.1002/bmc.4332,1,Scopus,Scopus,Scopus:2-s2.0-85052630773,2018,Metabolomic profiling of rat urine after oral admi
10.1002/bmc.4358,1,Scopus,Scopus,Scopus:2-s2.0-85052916141,2018,"Pharmacokinetic, metabolic profiling and eliminati"
10.1002/bmc.4359,1,Scopus,Scopus,Scopus:2-s2.0-85052941315,2018,Optimization of extraction and analytical protocol
10.1002/bmc.4380,1,Scopus,Scopus,Scopus:2-s2.0-85055149945,2019,Multi-component profiles through the blood–brain b
10.1002/bmc.4385,1,Scopus,Scopus,Scopus:2-s2.0-85055262207,2019,Comparative in vivo constituents and pharmacokinet
10.1002/bmc.4406,1,Scopus,Scopus,Scopus:2-s2.0-85056126931,2019,Pharmacokinetics of monoester-diterpenoid alkaloid
10.1002/bmc.4421,1,Scopus,Scopus,Scopus:2-s2.0-85056783237,2019,Comparative metabolism of the eight main bioactive
10.1002/bmc.4422,1,Scopus,Scopus,Scopus:2-s2.0-85058933587,2019,A sensitive LC–MS/MS method for the determination 
10.1002/bmc.4423,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85058968795,2019,Evaluation of the influence of mirabilite on the a
10.1002/bmc.4433,1,Scopus,Scopus,Scopus:2-s2.0-85057484457,2019,Pharmacokinetics and tissue distribution study of 
10.1002/bmc.4449,1,Scopus,Scopus,Scopus:2-s2.0-85059607081,2019,UPLC–Q-TOF–MS and UPLC–MS/MS methods for metabolis
10.1002/bmc.4454,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000461089600010,2019,"Effects of Danhong injection, a traditional Chines"
10.1002/bmc.4469,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85059616363,2019,An assessment of the impact of green tea extract o
10.1002/bmc.4480,1,Scopus,Scopus,Scopus:2-s2.0-85060932589,2019,Identification of the absorbed components and thei
10.1002/bmc.4500,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85061931996,2019,Identification of interactions between multiple co
10.1002/bmc.4507,1,Scopus,Scopus,Scopus:2-s2.0-85063911240,2019,The effect of naringenin on the pharmacokinetics o
10.1002/bmc.4514,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000473622400024,2019,Metabolism-based herb-drug interaction of Corydali
10.1002/bmc.4521,1,Scopus,Scopus,Scopus:2-s2.0-85063913500,2019,Comparative pharmacokinetics of nine major bioacti
10.1002/bmc.4542,1,Scopus,Scopus,Scopus:2-s2.0-85068776115,2019,Comparative pharmacokinetic study of four major bi
10.1002/bmc.4561,1,Scopus,Scopus,Scopus:2-s2.0-85065710225,2019,"Pharmacokinetics of salvianolic acid B, rosmarinic"
10.1002/bmc.4581,1,Scopus,Scopus,Scopus:2-s2.0-85067403355,2019,Chemical composition database establishment and me
10.1002/bmc.4617,1,Scopus,Scopus,Scopus:2-s2.0-85071365473,2019,Metabonomics study on the effect of Siwu Decoction
10.1002/bmc.4632,1,Scopus,Scopus,Scopus:2-s2.0-85070874102,2019,Simultaneous determination of eight bioactive comp
10.1002/bmc.4674,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85071420707,2019,UPLC–MS/MS study of the effect of dandelion root e
10.1002/bmc.4714,1,Scopus,Scopus,Scopus:2-s2.0-85075219040,2020,Comparative absorption kinetics of seven active in
10.1002/bmc.4741,1,PubMed,PubMed,PubMed:31743479,2020,Synergistic therapeutic effects of Duzhong Jiangya
10.1002/bmc.4757,2,Scopus;WoS,WoS,WoS:WOS:000509533200019,2020,"Analysis of five active ingredients of Er-Zhi-Wan,"
10.1002/bmc.4778,1,Scopus,Scopus,Scopus:2-s2.0-85078631717,2020,Rapid analysis of Saposhnikovia divaricate decocti
10.1002/bmc.4793,1,Scopus,Scopus,Scopus:2-s2.0-85078661060,2020,Pharmacokinetic effects of ginsenoside Rg1 on acon
10.1002/bmc.4805,1,Scopus,Scopus,Scopus:2-s2.0-85079858254,2020,Systematic investigation on the chemical basis of 
10.1002/bmc.4830,1,Scopus,Scopus,Scopus:2-s2.0-85082514586,2020,Pharmacokinetic and bioavailability study of 5-hyd
10.1002/bmc.4837,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85083520822,2020,Determination of toosendanin and trans-anethole in
10.1002/bmc.4838,1,Scopus,Scopus,Scopus:2-s2.0-85084819158,2020,Development of an ultra-performance liquid chromat
10.1002/bmc.4866,1,Scopus,Scopus,Scopus:2-s2.0-85087372397,2020,UPLC–MS/MS simultaneous determination of seven act
10.1002/bmc.4872,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000552760700001,2020,Development of a sensitive and rapid UHPLC-MS/MS m
10.1002/bmc.4919,1,Scopus,Scopus,Scopus:2-s2.0-85087316287,2020,Systematic screening and characterization of absor
10.1002/bmc.4946,1,Scopus,Scopus,Scopus:2-s2.0-85088242413,2020,Simultaneous determination of eight bioactive comp
10.1002/bmc.4963,1,Scopus,Scopus,Scopus:2-s2.0-85089744824,2020,Nine absorbed components pharmacokinetic of raw an
10.1002/bmc.4965,1,Scopus,Scopus,Scopus:2-s2.0-85089754433,2020,Identification of the absorptive constituents and 
10.1002/bmc.4999,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000584018400001,2021,Validation of a HPLC method for quantification of 
10.1002/bmc.5000,1,Scopus,Scopus,Scopus:2-s2.0-85094202691,2021,Simultaneous determination of five bioactive compo
10.1002/bmc.5026,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000591578700001,2021,Tissue distribution and molecular docking research
10.1002/bmc.5120,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85104580047,2021,Investigation of the incompatibility of Knoxiae Ra
10.1002/bmc.5125,1,Scopus,Scopus,Scopus:2-s2.0-85104357612,2021,Comparative pharmacokinetic and bioavailability st
10.1002/bmc.5171,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000656342500001,2021,Evaluation of the effects of notoginseng total sap
10.1002/bmc.5201,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85116991482,2021,"Investigation of the impact of grapefruit juice, p"
10.1002/bmc.5227,1,PubMed,PubMed,PubMed:34388856,2021,Effect of catechin and commercial preparation of g
10.1002/bmc.5235,1,Scopus,Scopus,Scopus:2-s2.0-85116990279,2022,In vivo and in vitro metabolism study of tradition
10.1002/bmc.5257,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85117399977,2022,The influence of essential oils from ZhaLi NuSi Pr
10.1002/bmc.5311,1,Scopus,Scopus,Scopus:2-s2.0-85124560195,2022,Enhancing effect of borneol on pharmacokinetics of
10.1002/bmc.5323,1,Scopus,Scopus,Scopus:2-s2.0-85123727508,2022,Investigate the effect of honey on the absorption 
10.1002/bmc.5375,1,Scopus,Scopus,Scopus:2-s2.0-85128205288,2022,Metabolic characteristics and pharmacokinetic diff
10.1002/bmc.5394,1,Scopus,Scopus,Scopus:2-s2.0-85131947922,2022,Characterization of diterpene metabolism in rats w
10.1002/bmc.5410,1,Scopus,Scopus,Scopus:2-s2.0-85131892809,2022,The effect of anti-alcoholic gastric ulcer before 
10.1002/bmc.5438,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000836894400001,2022,Absorption characteristics of ilexgenin A and ilex
10.1002/bmc.5463,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000841527500001,2022,Interaction study of salvianolic acids for injecti
10.1002/bmc.5483,1,Scopus,Scopus,Scopus:2-s2.0-85137527753,2022,Characterization of the metabolism of aloin A/B an
10.1002/bmc.5492,1,Scopus,Scopus,Scopus:2-s2.0-85137320671,2022,Integrated pharmacokinetics of Huangqi Jianzhong T
10.1002/bmc.5518,1,Scopus,Scopus,Scopus:2-s2.0-85140370213,2023,Comparative pharmacokinetic study of nine bioactiv
10.1002/bmc.5533,1,Scopus,Scopus,Scopus:2-s2.0-85141543538,2023,Development of a UPLC–MS/MS method for the determi
10.1002/bmc.5540,1,Scopus,Scopus,Scopus:2-s2.0-85141966364,2023,"Metabolism, pharmacokinetics, and bioavailability "
10.1002/bmc.5589,1,Scopus,Scopus,Scopus:2-s2.0-85147518264,2023,Combination of chemical profiling and network phar
10.1002/bmc.5591,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000928848400001,2023,Pharmacokinetic and pharmacodynamic herb-drug inte
10.1002/bmc.5600,1,Scopus,Scopus,Scopus:2-s2.0-85149273714,2023,Simultaneous pharmacokinetic assessment of phytoph
10.1002/bmc.5605,1,Scopus,Scopus,Scopus:2-s2.0-85149419508,2023,The tissue distribution of Jinzhen oral liquid in 
10.1002/bmc.5619,1,Scopus,Scopus,Scopus:2-s2.0-85150905162,2023,Twelve-component pharmacokinetic study of rat plas
10.1002/bmc.5653,1,Scopus,Scopus,Scopus:2-s2.0-85158164615,2023,Metabolite profiles of Gansuibanxia decoction in r
10.1002/bmc.5684,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:001001940700001,2023,Evaluation of herb-drug interactions between compo
10.1002/bmc.5740,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85169831348,2023,Metabolic regularity of bioactive compounds in Buf
10.1002/bmc.5782,1,Scopus,Scopus,Scopus:2-s2.0-85178046720,2024,Pharmacokinetic study of five components of Fuzhen
10.1002/bmc.5859,3,PubMed;Scopus;WoS,WoS,WoS:WOS:001202204300001,2024,Investigation of the mechanism of nephrotoxicity o
10.1002/bmc.5870,1,Scopus,Scopus,Scopus:2-s2.0-85191356400,2024,Study on the active components and mechanism of At
10.1002/bmc.5898,1,Scopus,Scopus,Scopus:2-s2.0-85194533232,2024,Identification of Xuanfei Baidu granule constituen
10.1002/bmc.590,1,Scopus,Scopus,Scopus:2-s2.0-33746998922,2006,HPLC method for the determination and pharmacokine
10.1002/bmc.5973,1,Scopus,Scopus,Scopus:2-s2.0-85204695100,2024,Anti-LSSDS pharmacological components identificati
10.1002/bmc.5984,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:001292004900001,2024,P-glycoprotein-mediated herb-drug interaction eval
10.1002/bmc.6014,1,Scopus,Scopus,Scopus:2-s2.0-85204350593,2024,Study on the metabolism of Xiao–Jian–Zhong–Tang in
10.1002/bmc.6018,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:001319809300001,2024,Herb-drug interaction study of Yiqi Fumai lyophili
10.1002/bmc.6035,1,Scopus,Scopus,Scopus:2-s2.0-85208145238,2024,Comparative analysis of six aconitine-type alkaloi
10.1002/bmc.6046,1,Scopus,Scopus,Scopus:2-s2.0-85209990224,2025,Analysis of Herbal Constituents and In Vivo Pharma
10.1002/bmc.70020,1,Scopus,Scopus,Scopus:2-s2.0-85218341028,2025,Metabolomic Study of the Analgesic Effect of Dalbe
10.1002/bmc.70024,1,Scopus,Scopus,Scopus:2-s2.0-85217762075,2025,Systematic Investigation of Metabolism and Potenti
10.1002/bmc.70059,3,PubMed;Scopus;WoS,WoS,WoS:WOS:001446047500001,2025,Metabolite Identification of Huangqi Guizhi Wuwu G
10.1002/bmc.70092,1,Scopus,Scopus,Scopus:2-s2.0-105003796990,2025,Identification and Molecular Mechanism of COX-2 In
10.1002/bmc.70117,1,Scopus,Scopus,Scopus:2-s2.0-105005585463,2025,Pharmacokinetic Study of Eight Bioactive Component
10.1002/bmc.70120,2,Scopus;WoS,WoS,WoS:WOS:001511602200012,2025,Study on the Efficacy and Mechanism of Metabolomic
10.1002/bmc.70127,1,Scopus,Scopus,Scopus:2-s2.0-105006884217,2025,Pharmacodynamic Material Basis and Pharmacological
10.1002/bmc.70159,1,Scopus,Scopus,Scopus:2-s2.0-105009617269,2025,Exploring the Compatibility Mechanism of Xiaojianz
